model,fraction,approx_train_n,mean_LOMO_MCC,sd,dose_baseline_MCC
RandomForest,0.2,58,-0.0428,0.0861,0.4103
RandomForest,0.4,116,-0.0543,0.1169,0.4103
RandomForest,0.5,146,-0.0986,0.0398,0.4103
RandomForest,0.6,175,-0.0572,0.0829,0.4103
RandomForest,0.7,204,-0.0566,0.0716,0.4103
RandomForest,0.8,233,-0.0988,0.0204,0.4103
RandomForest,0.9,262,-0.0832,0.0161,0.4103
RandomForest,1.0,291,-0.1158,0.0,0.4103
XGBoost,0.2,58,-0.0463,0.0823,0.4103
XGBoost,0.4,116,-0.1119,0.0325,0.4103
XGBoost,0.5,146,-0.1171,0.0203,0.4103
XGBoost,0.6,175,-0.0997,0.0367,0.4103
XGBoost,0.7,204,-0.0797,0.1157,0.4103
XGBoost,0.8,233,-0.1203,0.0078,0.4103
XGBoost,0.9,262,-0.1098,0.0074,0.4103
XGBoost,1.0,291,-0.1047,0.0,0.4103
