held_out,n_train_oxides,MCC,model
CuO,2,0.0,RandomForest
CuO,2,0.44320263021395917,RandomForest
CuO,2,0.0,RandomForest
CuO,2,0.0,RandomForest
CuO,2,0.6700593942604899,RandomForest
CuO,3,0.0,RandomForest
CuO,3,0.5606119105813882,RandomForest
CuO,3,0.6700593942604899,RandomForest
CuO,3,0.5606119105813882,RandomForest
CuO,4,0.5606119105813882,RandomForest
TiO2,2,-0.031952607645037025,RandomForest
TiO2,2,0.1066267020205842,RandomForest
TiO2,2,0.0,RandomForest
TiO2,2,0.09637388493048533,RandomForest
TiO2,2,0.09637388493048533,RandomForest
TiO2,3,0.0,RandomForest
TiO2,3,0.11424547834539117,RandomForest
TiO2,3,0.09799919151000505,RandomForest
TiO2,3,0.09637388493048533,RandomForest
TiO2,4,0.09965563318429557,RandomForest
ZnO,2,0.2286415123415476,RandomForest
ZnO,2,0.0,RandomForest
ZnO,2,0.3280337208054149,RandomForest
ZnO,2,0.3396831102433787,RandomForest
ZnO,2,0.0,RandomForest
ZnO,3,0.0,RandomForest
ZnO,3,0.05811580616178376,RandomForest
ZnO,3,0.0,RandomForest
ZnO,3,0.2832644114435326,RandomForest
ZnO,4,0.05811580616178376,RandomForest
CuO,2,0.0,XGBoost
CuO,2,0.0,XGBoost
CuO,2,0.0,XGBoost
CuO,2,0.7774288420142416,XGBoost
CuO,2,0.0,XGBoost
CuO,3,0.0,XGBoost
CuO,3,0.6700593942604899,XGBoost
CuO,3,0.7774288420142416,XGBoost
CuO,3,0.0,XGBoost
CuO,4,0.7774288420142416,XGBoost
TiO2,2,0.49365724849494175,XGBoost
TiO2,2,0.09637388493048533,XGBoost
TiO2,2,0.49365724849494175,XGBoost
TiO2,2,0.08574929257125442,XGBoost
TiO2,2,-0.07747516350666292,XGBoost
TiO2,3,0.49365724849494175,XGBoost
TiO2,3,0.09799919151000505,XGBoost
TiO2,3,0.09965563318429557,XGBoost
TiO2,3,-0.08016295810226434,XGBoost
TiO2,4,0.10306850717555222,XGBoost
ZnO,2,0.3063964384135812,XGBoost
ZnO,2,0.0,XGBoost
ZnO,2,0.3063964384135812,XGBoost
ZnO,2,0.0,XGBoost
ZnO,2,0.0,XGBoost
ZnO,3,0.3063964384135812,XGBoost
ZnO,3,0.0,XGBoost
ZnO,3,0.0,XGBoost
ZnO,3,0.0,XGBoost
ZnO,4,0.0,XGBoost
